========================================================================================
                         GRID SEARCH RESULTS (SALI & GALI)                              
========================================================================================

Loaded 100 labeled ICs (Chaotic: 21, Regular: 79) from data/initial_conditions/labeled_ics_benchmark_size_962.npz
--- BEST PARAMETER SETS ---
Best SALI: Threshold = 1.0e-03, Window = 25 | Balanced Acc = 0.8508
Best GALI: Threshold = 1.0e-20, Window = 50 | Balanced Acc = 0.9461

========================================================================================
Method   | Threshold    | Window   | Bal. Acc   | Accuracy   | F1-Score  
========================================================================================
--- SALI RUNS ---
SALI     | 1.0e-03      | 25       | 0.8508     | 0.9300     | 0.8108    
SALI     | 1.0e-03      | 15       | 0.8445     | 0.9200     | 0.7895    
SALI     | 1.0e-03      | 20       | 0.8445     | 0.9200     | 0.7895    
SALI     | 1.0e-03      | 10       | 0.8318     | 0.9000     | 0.7500    
SALI     | 1.0e-04      | 5        | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-04      | 10       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-04      | 15       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-04      | 20       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-04      | 25       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-05      | 5        | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-05      | 10       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-05      | 15       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-05      | 20       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-05      | 25       | 0.7619     | 0.9000     | 0.6875    
SALI     | 1.0e-03      | 5        | 0.7116     | 0.7100     | 0.5085    
SALI     | 1.0e-02      | 25       | 0.5124     | 0.3400     | 0.3400    
SALI     | 1.0e-01      | 5        | 0.5000     | 0.2100     | 0.3471    
SALI     | 1.0e-01      | 10       | 0.5000     | 0.2100     | 0.3471    
SALI     | 1.0e-01      | 15       | 0.5000     | 0.2100     | 0.3471    
SALI     | 1.0e-02      | 20       | 0.4997     | 0.3200     | 0.3333    
SALI     | 1.0e-01      | 20       | 0.4762     | 0.2000     | 0.3333    
SALI     | 1.0e-01      | 25       | 0.4762     | 0.2000     | 0.3333    
SALI     | 1.0e-02      | 15       | 0.4617     | 0.2600     | 0.3148    
SALI     | 1.0e-02      | 10       | 0.4301     | 0.2100     | 0.3009    
SALI     | 1.0e-02      | 5        | 0.4286     | 0.1800     | 0.3051    
----------------------------------------------------------------------------------------
--- GALI RUNS ---
GALI     | 1.0e-20      | 50       | 0.9461     | 0.9700     | 0.9268    
GALI     | 1.0e-18      | 50       | 0.9430     | 0.9100     | 0.8235    
GALI     | 1.0e-22      | 100      | 0.9286     | 0.9700     | 0.9231    
GALI     | 1.0e-22      | 150      | 0.9286     | 0.9700     | 0.9231    
GALI     | 1.0e-18      | 250      | 0.9271     | 0.9400     | 0.8636    
GALI     | 1.0e-20      | 100      | 0.9222     | 0.9600     | 0.9000    
GALI     | 1.0e-20      | 150      | 0.9222     | 0.9600     | 0.9000    
GALI     | 1.0e-20      | 200      | 0.9222     | 0.9600     | 0.9000    
GALI     | 1.0e-20      | 250      | 0.9222     | 0.9600     | 0.9000    
GALI     | 1.0e-22      | 50       | 0.9222     | 0.9600     | 0.9000    
GALI     | 1.0e-18      | 200      | 0.9207     | 0.9300     | 0.8444    
GALI     | 1.0e-18      | 100      | 0.9144     | 0.9200     | 0.8261    
GALI     | 1.0e-18      | 150      | 0.9144     | 0.9200     | 0.8261    
GALI     | 1.0e-22      | 200      | 0.9048     | 0.9600     | 0.8947    
GALI     | 1.0e-22      | 250      | 0.9048     | 0.9600     | 0.8947    
GALI     | 1.0e-16      | 250      | 0.8671     | 0.7900     | 0.6667    
GALI     | 1.0e-16      | 200      | 0.8544     | 0.7700     | 0.6462    
GALI     | 1.0e-16      | 150      | 0.8481     | 0.7600     | 0.6364    
GALI     | 1.0e-16      | 100      | 0.8354     | 0.7400     | 0.6176    
GALI     | 1.0e-16      | 50       | 0.8101     | 0.7000     | 0.5833    
GALI     | 1.0e-14      | 200      | 0.7658     | 0.6300     | 0.5316    
GALI     | 1.0e-14      | 250      | 0.7658     | 0.6300     | 0.5316    
GALI     | 1.0e-14      | 150      | 0.7532     | 0.6100     | 0.5185    
GALI     | 1.0e-14      | 100      | 0.7278     | 0.5700     | 0.4941    
GALI     | 1.0e-14      | 50       | 0.6266     | 0.4100     | 0.4158    
========================================================================================
