========================================================================================
                         GRID SEARCH RESULTS (SALI & GALI)                              
========================================================================================

Loaded 370 labeled ICs (Chaotic: 185, Regular: 185) data/initial_conditions/labeled_ics_benchmark_size_370.npz
--- BEST PARAMETER SETS ---
Best SALI: Threshold = 1.0e-03, Window = 25 | Balanced Acc = 0.8838
Best GALI: Threshold = 1.0e-20, Window = 50 | Balanced Acc = 0.9757

========================================================================================
Method   | Threshold    | Window   | Bal. Acc   | Accuracy   | F1-Score  
========================================================================================
--- SALI RUNS ---
SALI     | 1.0e-03      | 25       | 0.8838     | 0.8838     | 0.8701    
SALI     | 1.0e-03      | 20       | 0.8784     | 0.8784     | 0.8657    
SALI     | 1.0e-03      | 15       | 0.8757     | 0.8757     | 0.8631    
SALI     | 1.0e-03      | 10       | 0.8486     | 0.8486     | 0.8391    
SALI     | 1.0e-04      | 5        | 0.8351     | 0.8351     | 0.8026    
SALI     | 1.0e-04      | 10       | 0.8243     | 0.8243     | 0.7869    
SALI     | 1.0e-04      | 15       | 0.8243     | 0.8243     | 0.7869    
SALI     | 1.0e-04      | 20       | 0.8243     | 0.8243     | 0.7869    
SALI     | 1.0e-04      | 25       | 0.8216     | 0.8216     | 0.7829    
SALI     | 1.0e-05      | 5        | 0.8000     | 0.8000     | 0.7500    
SALI     | 1.0e-05      | 10       | 0.7973     | 0.7973     | 0.7458    
SALI     | 1.0e-05      | 15       | 0.7973     | 0.7973     | 0.7458    
SALI     | 1.0e-05      | 20       | 0.7946     | 0.7946     | 0.7415    
SALI     | 1.0e-05      | 25       | 0.7946     | 0.7946     | 0.7415    
SALI     | 1.0e-03      | 5        | 0.7703     | 0.7703     | 0.7745    
SALI     | 1.0e-02      | 25       | 0.5811     | 0.5811     | 0.6817    
SALI     | 1.0e-02      | 20       | 0.5622     | 0.5622     | 0.6734    
SALI     | 1.0e-02      | 15       | 0.5486     | 0.5486     | 0.6693    
SALI     | 1.0e-02      | 10       | 0.5297     | 0.5297     | 0.6654    
SALI     | 1.0e-02      | 5        | 0.5108     | 0.5108     | 0.6617    
SALI     | 1.0e-01      | 5        | 0.5000     | 0.5000     | 0.6667    
SALI     | 1.0e-01      | 10       | 0.5000     | 0.5000     | 0.6667    
SALI     | 1.0e-01      | 15       | 0.5000     | 0.5000     | 0.6667    
SALI     | 1.0e-01      | 20       | 0.4973     | 0.4973     | 0.6643    
SALI     | 1.0e-01      | 25       | 0.4973     | 0.4973     | 0.6643    
----------------------------------------------------------------------------------------
--- GALI RUNS ---
GALI     | 1.0e-20      | 50       | 0.9757     | 0.9757     | 0.9753    
GALI     | 1.0e-18      | 50       | 0.9676     | 0.9676     | 0.9686    
GALI     | 1.0e-22      | 50       | 0.9649     | 0.9649     | 0.9636    
GALI     | 1.0e-18      | 250      | 0.9622     | 0.9622     | 0.9617    
GALI     | 1.0e-20      | 100      | 0.9622     | 0.9622     | 0.9611    
GALI     | 1.0e-18      | 200      | 0.9595     | 0.9595     | 0.9591    
GALI     | 1.0e-20      | 150      | 0.9568     | 0.9568     | 0.9553    
GALI     | 1.0e-18      | 100      | 0.9541     | 0.9541     | 0.9542    
GALI     | 1.0e-18      | 150      | 0.9541     | 0.9541     | 0.9542    
GALI     | 1.0e-20      | 200      | 0.9486     | 0.9486     | 0.9465    
GALI     | 1.0e-20      | 250      | 0.9486     | 0.9486     | 0.9465    
GALI     | 1.0e-22      | 100      | 0.9459     | 0.9459     | 0.9429    
GALI     | 1.0e-22      | 150      | 0.9351     | 0.9351     | 0.9306    
GALI     | 1.0e-22      | 200      | 0.9297     | 0.9297     | 0.9244    
GALI     | 1.0e-22      | 250      | 0.9270     | 0.9270     | 0.9213    
GALI     | 1.0e-16      | 200      | 0.8946     | 0.8946     | 0.9027    
GALI     | 1.0e-16      | 250      | 0.8946     | 0.8946     | 0.9027    
GALI     | 1.0e-16      | 150      | 0.8919     | 0.8919     | 0.9010    
GALI     | 1.0e-16      | 100      | 0.8892     | 0.8892     | 0.8998    
GALI     | 1.0e-16      | 50       | 0.8243     | 0.8243     | 0.8506    
GALI     | 1.0e-14      | 250      | 0.7757     | 0.7757     | 0.8168    
GALI     | 1.0e-14      | 200      | 0.7703     | 0.7703     | 0.8132    
GALI     | 1.0e-14      | 150      | 0.7622     | 0.7622     | 0.8079    
GALI     | 1.0e-14      | 100      | 0.6973     | 0.6973     | 0.7676    
GALI     | 1.0e-14      | 50       | 0.5730     | 0.5730     | 0.7008    
========================================================================================
